FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_hoje_ref.92173aba-294e-3e87-ae4e-841a50138306,92173aba-294e-3e87-ae4e-841a50138306,-44.909,-5.879,2020-09-24T16:35:00,AQUA_M-T,FERNANDO FALCÃO,MARANHÃO,Brasil,2104081,21,33,,,,Cerrado,POINT (-5.879 -44.909)
focos_brasil_hoje_ref.1bbe1135-438f-3d17-a22d-ff8963f236f2,1bbe1135-438f-3d17-a22d-ff8963f236f2,-49.621,-2.831,2020-09-24T16:35:00,AQUA_M-T,BAIÃO,PARÁ,Brasil,1501204,15,33,,,,Amazônia,POINT (-2.831 -49.621)
focos_brasil_hoje_ref.6dcd9158-f235-3edc-a1a5-122f16f7c0a6,6dcd9158-f235-3edc-a1a5-122f16f7c0a6,-50.399,-2.29,2020-09-24T16:35:00,AQUA_M-T,PORTEL,PARÁ,Brasil,1505809,15,33,,,,Amazônia,POINT (-2.29 -50.399)
focos_brasil_hoje_ref.2802ac7b-fb75-388e-815c-77b512eb02bc,2802ac7b-fb75-388e-815c-77b512eb02bc,-44.064,-3.126,2020-09-24T16:35:00,AQUA_M-T,PRESIDENTE JUSCELINO,MARANHÃO,Brasil,2109205,21,33,,,,Amazônia,POINT (-3.126 -44.064)
focos_brasil_hoje_ref.b7001860-7f5e-3828-ad00-481b3ba247e1,b7001860-7f5e-3828-ad00-481b3ba247e1,-48.804,-5.878,2020-09-24T16:35:00,AQUA_M-T,MARABÁ,PARÁ,Brasil,1504208,15,33,,,,Amazônia,POINT (-5.878 -48.804)
focos_brasil_hoje_ref.158b6da7-549f-3f82-aa9a-74e45052ee34,158b6da7-549f-3f82-aa9a-74e45052ee34,-50.931,-5.093,2020-09-24T16:35:00,AQUA_M-T,ANAPU,PARÁ,Brasil,1500859,15,33,,,,Amazônia,POINT (-5.093 -50.931)
focos_brasil_hoje_ref.b6aab98b-a090-3163-8c1a-3c7ff9371658,b6aab98b-a090-3163-8c1a-3c7ff9371658,-50.947,1.623,2020-09-24T16:35:00,AQUA_M-T,PRACUÚBA,AMAPÁ,Brasil,1600550,16,33,,,,Amazônia,POINT (1.623 -50.947)
focos_brasil_hoje_ref.331d93c5-dc83-32b4-bde6-e3d7ae0c8898,331d93c5-dc83-32b4-bde6-e3d7ae0c8898,-44.162,-5.846,2020-09-24T16:35:00,AQUA_M-T,JATOBÁ,MARANHÃO,Brasil,2105450,21,33,,,,Cerrado,POINT (-5.846 -44.162)
focos_brasil_hoje_ref.50a47f9f-d7d3-3451-bcee-8692b3042ece,50a47f9f-d7d3-3451-bcee-8692b3042ece,-43.943,-3.302,2020-09-24T16:35:00,AQUA_M-T,PRESIDENTE VARGAS,MARANHÃO,Brasil,2109304,21,33,,,,Cerrado,POINT (-3.302 -43.943)
focos_brasil_hoje_ref.df84011a-cece-3af5-8678-4c69faaffe38,df84011a-cece-3af5-8678-4c69faaffe38,-46.389,-3.217,2020-09-24T16:35:00,AQUA_M-T,NOVA OLINDA DO MARANHÃO,MARANHÃO,Brasil,2107357,21,33,,,,Amazônia,POINT (-3.217 -46.389)
focos_brasil_hoje_ref.5f22de3c-fe87-33f7-9d69-0e0d362a660a,5f22de3c-fe87-33f7-9d69-0e0d362a660a,-44.171,-5.848,2020-09-24T16:35:00,AQUA_M-T,JATOBÁ,MARANHÃO,Brasil,2105450,21,33,,,,Cerrado,POINT (-5.848 -44.171)
